generation,best_fitness,mean_fitness,std_fitness
0,18.45874,-5.158966,5.39566
1,23.706599,4.119173,7.851285
2,39.90537,13.262161,8.462115
3,51.963214,23.663609,12.252698
4,61.214525,34.947541,12.970963
5,71.741915,43.783105,11.500388
6,78.028451,52.143166,11.228496
7,78.433768,58.821296,10.540145
8,84.020558,65.317717,9.503014
9,84.020558,70.219701,7.422386
10,84.700462,73.081909,5.940497
11,84.74463,75.538108,5.15305
12,85.904813,78.446587,4.963225
13,85.904847,80.374873,4.2394
14,86.257515,82.484473,3.4136
15,86.869573,83.766895,2.674873
16,87.024933,84.569486,2.378023
17,87.131525,85.152773,2.018085
18,87.176389,85.685432,1.489419
19,87.176389,86.109625,0.90887
20,87.202104,86.362873,0.78298
21,87.214231,86.600129,0.679274
22,87.214231,86.835588,0.50135
23,87.29667,86.973362,0.458473
24,87.331734,87.084428,0.437899
25,87.354447,87.154945,0.439563
26,87.398578,87.219901,0.219434
27,87.405686,87.260419,0.118922
28,87.405686,87.279681,0.112211
29,87.405686,87.321168,0.063838
30,87.405686,87.346444,0.049486
31,87.405686,87.374881,0.040082
32,87.405686,87.389706,0.030896
33,87.405686,87.39806,0.020384
34,87.405686,87.400233,0.017284
35,87.405686,87.401765,0.012955
36,87.405686,87.403385,0.009956
37,87.405686,87.405229,0.001633
38,87.405686,87.405334,0.001459
39,87.405686,87.405439,0.001253
40,87.405686,87.405439,0.001253
41,87.405686,87.405439,0.001253
42,87.405686,87.405439,0.001253
43,87.405686,87.405547,0.000848
44,87.405686,87.405547,0.000848
45,87.405686,87.405581,0.000781
46,87.405686,87.405652,0.000339
47,87.405686,87.405652,0.000339
48,87.405686,87.405652,0.000339
49,87.405686,87.405652,0.000339
