generation,best_fitness,mean_fitness,std_fitness
0,39.122264,-4.251874,6.986569
1,39.122264,-1.594742,10.943427
2,39.122264,-0.128351,12.078575
3,57.018586,5.27286,16.480373
4,57.018586,9.817043,18.440656
5,94.852506,15.4049,20.419328
6,94.852506,23.113066,19.064377
7,94.852506,26.512442,17.977414
8,94.852506,28.760145,17.273251
9,94.852506,33.043466,15.96903
10,94.852506,35.168883,15.129475
11,94.852506,36.606272,14.298386
12,94.852506,38.474249,12.673606
13,94.852506,40.442417,11.622951
14,94.852506,42.680996,12.137009
15,94.852506,43.588083,12.302174
16,94.852506,44.398061,11.887337
17,94.852506,45.831156,11.355903
18,94.852506,46.189561,10.922712
19,94.852506,46.911612,10.876419
20,94.852506,47.446428,10.629196
21,94.852506,48.341603,9.942203
22,94.852506,48.976606,9.531768
23,94.852506,49.153963,9.429455
24,94.852506,50.051974,9.108625
25,94.852506,50.952067,9.138445
26,94.852506,51.752792,9.232212
27,94.852506,52.202968,8.994815
28,94.852506,52.203759,8.994463
29,94.852506,52.382154,8.909167
30,94.852506,53.002975,8.982597
31,94.852506,53.272829,8.873796
32,94.852506,53.804585,9.250052
33,94.852506,54.347324,9.332438
34,94.852506,54.706334,9.173689
35,94.852506,54.97305,9.019352
36,94.852506,55.242283,9.034031
37,94.852506,55.699408,9.06894
38,94.852506,55.701302,9.067314
39,94.852506,55.880562,9.002121
40,94.852506,56.062087,9.013831
41,94.852506,56.155142,9.058665
42,94.852506,56.243321,8.935963
43,94.852506,56.689997,9.193071
44,94.852506,56.95201,9.067601
45,94.852506,57.049093,9.112764
46,94.852506,57.318134,9.241441
47,94.852506,57.971287,9.901155
48,94.852506,58.427663,9.818709
49,94.852506,58.7891,9.764072
50,94.852506,59.356668,9.968143
51,94.852506,59.356668,9.968143
52,94.852506,59.356668,9.968143
53,94.852506,60.077051,9.933533
54,94.852506,60.166204,10.026735
55,94.852506,60.259489,9.956649
56,94.852506,60.435981,9.737108
57,94.852506,60.894014,9.959423
58,94.882006,61.783861,10.580583
59,94.882006,61.961427,10.498799
60,94.882006,62.05793,10.413917
61,94.882006,62.05793,10.413917
62,94.882006,62.269204,10.700633
63,94.882006,62.828184,11.075146
64,94.882006,63.231568,11.263058
65,94.882006,63.700884,11.59374
66,94.882006,63.703907,11.591995
67,94.882006,63.795222,11.646524
68,94.882006,63.795222,11.646524
69,94.882006,63.885563,11.558436
70,94.882006,64.064877,11.450701
71,94.882006,64.156828,11.429075
72,94.882006,64.34022,11.311508
73,94.882006,64.34022,11.311508
74,94.882006,64.34022,11.311508
75,94.882006,64.34022,11.311508
76,94.882006,64.610278,11.31211
77,94.882006,64.98155,11.354219
78,94.882006,65.358036,11.70873
79,94.882006,65.358036,11.70873
80,94.882006,65.445523,11.613016
81,94.882006,65.446111,11.612587
82,94.882006,65.914627,11.844715
83,94.882006,66.004567,11.876394
84,94.882006,66.09696,11.842108
85,94.882006,66.09696,11.842108
86,94.882006,66.09696,11.842108
87,94.882006,66.101004,11.839032
88,94.882006,66.453911,11.901803
89,94.937405,66.832674,12.195203
90,94.937405,67.012594,12.049073
91,94.937405,67.012943,12.048788
92,94.937405,67.106561,11.937203
93,94.937405,67.571167,12.008053
94,94.937405,67.571167,12.008053
95,94.937405,67.575601,12.004073
96,94.937405,67.660063,11.960396
97,94.937405,67.834678,11.933335
98,94.937405,67.834678,11.933335
99,94.937405,68.096969,11.852529
100,94.937405,68.096969,11.852529
101,94.937405,68.185044,11.803972
102,94.937405,68.360889,11.767161
103,94.937405,68.362388,11.76592
104,94.937405,68.366126,11.765173
105,94.937405,68.366126,11.765173
106,94.937405,68.649233,12.033654
107,94.937405,68.929104,12.08273
108,94.937405,69.559134,12.485542
109,94.937405,69.652878,12.491322
110,94.937405,69.652878,12.491322
111,94.937405,69.652878,12.491322
112,94.937405,69.738623,12.433598
113,94.937405,70.214808,12.688234
114,94.937405,70.318893,12.845695
115,94.937405,70.49899,12.848925
